service_id,date,exception_type
1,20240429,1
1,20240430,1
1,20240506,2
1,20240507,2
1,20240513,2
1,20240514,2
1,20240520,2
1,20240521,2
1,20240527,2
1,20240528,2
2,20240503,1
2,20240510,2
2,20240517,2
2,20240524,2
2,20240531,2
3,20240429,2
3,20240430,2
3,20240501,2
3,20240502,2
3,20240503,2
3,20240520,2
4,20240502,1
4,20240509,2
4,20240516,2
4,20240523,2
4,20240530,2
5,20240429,2
5,20240430,2
5,20240501,2
5,20240520,2
6,20240504,1
6,20240511,2
6,20240518,2
6,20240525,2
6,20240601,2
8,20240428,1
8,20240505,1
8,20240512,2
8,20240519,2
8,20240526,2
9,20240520,1
10,20240429,1
10,20240430,1
10,20240501,1
10,20240502,1
10,20240503,1
10,20240506,2
10,20240507,2
10,20240508,2
10,20240509,2
10,20240510,2
10,20240513,2
10,20240514,2
10,20240515,2
10,20240516,2
10,20240517,2
10,20240520,2
10,20240521,2
10,20240522,2
10,20240523,2
10,20240524,2
10,20240527,2
10,20240528,2
10,20240529,2
10,20240530,2
10,20240531,2
11,20240502,1
11,20240509,2
11,20240516,2
11,20240523,2
11,20240530,2
12,20240428,2
12,20240505,2
12,20240520,1
13,20240429,2
13,20240506,2
13,20240513,2
13,20240520,1
13,20240527,2
14,20240428,2
15,20240504,2
16,20240503,1
16,20240510,2
16,20240517,2
16,20240524,2
16,20240531,2
17,20240502,2
18,20240501,1
18,20240508,2
18,20240515,2
18,20240522,2
18,20240529,2
19,20240503,2
20,20240429,1
20,20240430,1
20,20240501,1
20,20240506,2
20,20240507,2
20,20240508,2
20,20240513,2
20,20240514,2
20,20240515,2
20,20240520,2
20,20240521,2
20,20240522,2
20,20240527,2
20,20240528,2
20,20240529,2
21,20240428,1
21,20240505,2
21,20240512,2
21,20240519,2
21,20240526,2
22,20240429,2
22,20240430,2
22,20240501,2
22,20240502,2
22,20240503,2
22,20240520,2
23,20240504,2
24,20240504,1
24,20240511,2
24,20240518,2
24,20240525,2
24,20240601,2
